Word_dict.txt:
71204 70516 93829 190959 193044
becam 2 3 2 7 7
sweet 19 1 0 0 1
stick 10 6 1 2 2
fulfil 1 5 5 8 2
goodyear 2 0 0 17 2
rubber 2 6 1 10 2
alaska 12 0 0 8 1
unspecifi 5 1 3 9 3
door 2 3 1 13 2
nationwid 3 3 1 4 10
serious 1 9 6 5 0
slump 7 1 4 2 7
poll 2 0 11 2 6
nigeria 14 4 3 0 0
interior 6 12 0 1 2
lukman 21 0 0 0 0
tenneco 6 0 0 13 2
machineri 1 1 2 11 6
welcom 4 1 10 3 3
themselv 3 1 9 7 1
won't 3 6 6 5 1
tent 2 2 1 14 2
walter 4 0 2 9 6
spark 4 13 1 2 1
simpli 2 3 10 5 1
raw 1 3 0 3 14
elder 1 1 0 15 4
rental 1 6 0 4 10
perhap 1 4 13 1 2
midland 0 5 4 6 6
coars 0 21 0 0 0
durum 0 21 0 0 0
pl 0 20 0 1 0
epac 0 21 0 0 0
excel 0 4 2 2 13
asc 0 19 0 0 2
focus 0 1 6 7 7
brace 0 1 1 18 1
warburg 0 0 3 18 0
nakason 0 0 19 2 0
dudley 0 0 0 21 0
edelman 0 0 0 21 0
hillard 0 0 0 17 4
minstar 0 0 0 20 1
hospit 0 0 0 13 8
midnight 0 0 0 21 0
purolator' 0 0 0 21 0
privatis 0 0 0 18 3
usair' 0 0 0 21 0
holden-brown 0 0 0 7 14
ic 0 0 0 21 0
omit 0 0 0 1 20
aluminium 0 0 0 2 19
mthli 0 0 0 0 21
scheme 5 9 0 4 2
shown 8 2 3 3 4
reli 6 5 6 1 2
arabian 17 0 2 0 1
lessen 9 3 3 4 1
fabric 1 0 0 10 9
weight 1 3 13 1 2
presidenti 7 0 1 10 2
spur 13 0 5 2 0
restor 9 3 5 2 1
cheaper 3 5 8 2 2
plung 8 0 8 0 4
react 2 0 12 4 2
reluct 7 4 9 0 0
saturday 5 2 12 1 0
latin 10 0 1 1 8
weinberg 10 0 0 10 0
effici 3 6 2 5 4
five-year 3 4 0 8 5
rio 6 5 0 9 0
tension 10 0 7 3 0
programm 3 0 8 2 7
adher 17 2 1 0 0
heavili 4 2 6 5 3
administration' 3 14 3 0 0
indirect 1 0 10 7 2
widespread 3 6 11 0 0
monopoli 3 7 1 9 0
barrier 1 4 11 4 0
ii 2 2 3 6 7
restrain 5 1 2 11 1
experi 2 0 3 9 6
goldman 1 0 0 16 3
accru 1 1 0 4 14
alter 8 2 4 5 1
malaysia 6 4 1 5 4
sand 7 0 0 3 10
lee 2 0 0 11 7
broken 2 3 2 8 5
anim 1 8 0 6 5
roger 1 2 3 8 6
unavail 1 2 3 7 7
ever 4 3 4 3 6
three-month 2 1 14 3 0
histor 1 3 10 4 2
switzerland 2 2 5 9 2
reaction 3 2 10 3 2
strain 3 5 9 2 1
foot 1 0 1 14 4
thoma 1 1 6 10 2
notic 1 0 1 12 6
ongo 1 1 1 5 12
sunflow 0 18 0 2 0
moistur 0 20 0 0 0
iwc 0 20 0 0 0
memori 0 2 0 15 3
basket 0 3 17 0 0
netherland 0 8 6 4 2
agent 0 8 1 8 3
sept 0 5 2 4 9
seed 0 10 0 9 1
begun 0 3 7 8 2
ortner 0 0 20 0 0
leigh-pemberton 0 0 10 10 0
broadli 0 0 17 1 2
airway 0 0 1 5 14
qintex 0 0 0 20 0
seali 0 0 0 15 5
arbitrageur 0 0 0 20 0
fidel 0 0 0 18 2
kidder 0 0 0 13 7
encor 0 0 0 17 3
seat 0 0 0 14 6
n 0 0 0 14 6
quaker 0 0 0 11 9
alusuiss 0 0 0 0 20
swire 0 0 0 0 20
wilson 3 5 4 5 2
benchmark 18 0 1 0 0
alvit 19 0 0 0 0
belief 5 2 5 7 0
perman 6 6 3 1 3
pace 3 1 3 5 7
select 4 4 3 4 4
closur 8 0 2 1 8
cheap 7 7 4 0 1
fresh 3 4 6 2 4
neutral 11 5 2 0 1
pick 4 1 9 2 3
residu 16 1 1 0 1
three-year 2 1 3 4 9
section 4 5 1 5 4
esso 6 0 0 10 3
australia' 8 4 0 4 3
downturn 6 0 3 1 9
utah 4 0 0 14 1
jordan 3 6 3 1 6
danger 4 2 12 0 1
devic 1 0 0 11 7
incorpor 1 0 4 6 8
pattern 4 4 6 0 5
barney 3 0 7 5 4
outcom 2 3 3 5 6
cement 1 0 0 11 7
ultim 2 2 2 5 8
peg 1 0 13 1 4
belgium 1 7 7 4 0
treatment 2 0 1 9 7
el 1 16 0 2 0
cargil 0 19 0 0 0
ill 0 4 0 14 1
frost 0 9 0 5 5
sri 0 19 0 0 0
authoris 0 4 4 5 6
green 0 2 0 8 9
atlanta 0 1 0 17 1
shanghai 0 9 0 2 8
grew 0 1 7 2 9
bancroft 0 1 0 18 0
n.z 0 2 2 13 2
awb 0 19 0 0 0
take-up 0 0 19 0 0
outflow 0 0 19 0 0
love 0 0 1 11 7
commerzbank 0 0 2 10 7
heritag 0 0 3 16 0
magazin 0 0 1 16 2
subscrib 0 0 0 12 7
unicorp 0 0 0 16 3
ge 0 0 0 8 11
banner 0 0 0 19 0
southmark 0 0 0 19 0
horizon 0 0 0 15 4
suitor 0 0 0 19 0
pie 0 0 0 18 1
passeng 0 0 0 6 13
ami 0 0 0 17 2
print 0 0 0 13 6
lindner 0 0 0 19 0
disposit 0 0 0 5 14
non-recur 0 0 0 1 18
carolina 0 0 0 1 18
heinz 0 0 0 2 17
matheson 0 0 0 0 19
prohibit 4 3 1 8 2
kept 8 3 5 1 1
xon 15 0 0 3 0
sheikh 18 0 0 0 0
publicli 2 0 0 15 1
businessmen 8 0 9 1 0
labour 10 3 5 0 0
channel 1 0 0 12 5
usx 13 0 0 5 0
iran' 18 0 0 0 0
i'm 2 2 5 3 6
understand 1 1 3 10 3
colombia 11 7 0 0 0
usa 3 3 1 4 7
specialist 1 6 1 9 1
unabl 2 1 2 7 6
norway 13 0 0 3 2
shelf 15 0 0 0 3
occident 5 0 0 9 4
n.v 1 0 0 10 7
prt 18 0 0 0 0
stockbrok 4 0 3 5 6
format 5 1 2 8 2
edward 1 4 0 8 5
exploratori 15 0 0 3 0
minu 1 15 2 0 0
volatil 6 0 7 0 5
otherwis 3 4 5 4 2
depth 8 0 5 5 0
protest 5 7 3 3 0
vehicl 1 1 1 7 8
phase 5 2 4 1 6
protectionist 2 1 14 0 1
intens 3 13 0 1 1
across 5 6 3 2 2
fight 2 6 0 9 1
syndic 1 0 1 14 2
momentum 2 1 8 0 7
parliamentari 2 0 14 2 0
mostli 4 1 2 5 6
prioriti 5 0 12 0 1
prevail 1 6 10 0 1
suprem 4 0 0 11 3
mount 1 0 5 5 7
mcivor 18 0 0 0 0
giant 3 0 0 11 4
type 1 4 6 5 2
peru 1 6 7 4 0
huckabi 0 18 0 0 0
mull 0 3 1 13 1
sown 0 18 0 0 0
bureau 0 12 3 2 1
beverag 0 4 0 10 4
provision 0 4 5 1 8
necessarili 0 1 14 1 2
merchandis 0 1 1 6 10
asid 0 3 6 4 5
black 0 1 7 7 3
twice 0 2 5 8 3
mitsubishi 0 1 2 9 6
fortun 0 0 5 13 0
satoshi 0 0 18 0 0
maekawa 0 0 18 0 0
machin 0 0 1 10 7
scott 0 0 1 5 12
britain' 0 0 6 10 2
unit' 0 0 1 13 4
n.i 0 0 1 14 3
gould 0 0 3 14 1
penc 0 0 1 10 7
lire 0 0 2 7 9
huski 0 0 0 17 1
gabelli 0 0 0 18 0
eastman 0 0 0 9 9
carbid 0 0 0 13 5
j 0 0 0 13 5
calni 0 0 0 18 0
symbion 0 0 0 18 0
virginia 0 0 0 10 8
fla 0 0 0 18 0
pre-split 0 0 0 1 17
sport 0 0 0 9 9
norfolk 0 0 0 16 2
watanab 0 0 0 18 0
twa' 0 0 0 18 0
telegraph 0 0 0 9 9
hk 0 0 0 15 3
coloni 0 0 0 13 5
icc 0 0 0 18 0
ameritrust 0 0 0 12 6
imag 0 0 0 12 6
hilton 0 0 0 4 14
one-third 2 3 1 7 4
fill 11 1 0 1 4
centuri 5 3 0 6 3
ban 7 6 0 2 2
abandon 1 2 4 4 6
italy' 1 0 5 9 2
dip 4 0 7 2 4
increasingli 3 2 8 2 2
categori 2 2 10 1 2
crucial 8 3 6 0 0
word 4 1 5 3 4
plane 5 1 0 2 9
proven 7 0 2 4 4
trillion 16 0 0 1 0
user 3 4 0 8 2
percept 1 2 7 4 3
venezuelan 16 0 0 0 1
controversi 3 8 1 5 0
dramat 1 2 6 1 7
solut 2 1 9 2 3
statist 5 5 5 1 1
nigel 3 0 14 0 0
preserv 2 2 8 5 0
site 7 0 0 6 4
raid 15 0 0 2 0
alberta 8 0 0 5 4
willing 4 3 4 5 1
deriv 2 8 1 0 6
quantiti 3 11 1 0 2
social 1 5 1 6 4
freedom 4 1 2 3 7
certainli 6 4 2 2 3
cautiou 2 2 10 2 1
uk 2 3 6 4 2
hundr 5 4 1 3 4
deterior 3 1 3 0 10
resolut 1 2 5 4 5
mind 7 4 3 3 0
indirectli 1 0 13 3 0
discov 13 1 0 0 3
contact 1 2 1 12 1
india 6 10 0 1 0
banco 3 0 2 8 4
drastic 1 5 8 0 3
they'r 1 3 0 10 3
exact 1 3 1 5 7
mention 4 0 6 6 1
amoco 17 0 0 0 0
livestock 1 10 0 6 0
bearish 2 3 11 1 0
pennsylvania 2 0 0 12 3
batteri 2 0 0 14 1
fairli 1 1 12 3 0
o 1 0 0 3 13
withdrawn 1 0 0 13 3
personnel 2 1 0 4 10
yearend 1 0 0 4 12
triangl 0 1 1 12 3
minnesota 0 5 0 7 5
farmland 0 14 0 3 0
felt 0 3 4 4 6
snyder 0 1 0 15 1
cap 0 4 2 5 6
mail 0 1 0 6 10
flight 0 1 1 7 8
inflow 0 0 17 0 0
dinar 0 0 12 0 5
write-off 0 0 2 0 15
model 0 0 2 0 15
campbel 0 0 1 4 12
sanwa 0 0 1 12 4
hutchison 0 0 0 4 13
buyback 0 0 0 4 13
allied-sign 0 0 0 15 2
builder 0 0 0 16 1
suburban 0 0 0 14 3
jr 0 0 0 13 4
pantera' 0 0 0 17 0
compli 0 0 0 12 5
healthcar 0 0 0 7 10
pcc 0 0 0 17 0
patent 0 0 0 10 7
rmj 0 0 0 17 0
casino 0 0 0 13 4
graphic 0 0 0 8 9
utilicorp 0 0 0 4 13
itt 0 0 0 6 11
avana 0 0 0 15 2
full-year 0 0 0 0 17
bayer 0 0 0 0 17
basf 0 0 0 0 17
endotron 0 0 0 0 17
plc' 3 0 0 10 3
petroleo 16 0 0 0 0
holiday 2 0 2 8 4
pdvsa 16 0 0 0 0
uae 10 0 6 0 0
intellig 2 1 0 3 10
unoc 16 0 0 0 0
papandr 16 0 0 0 0
built 6 2 1 1 6
convinc 4 3 4 3 2
sour 16 0 0 0 0
marathon 11 0 0 1 4
await 1 8 3 3 1
tonight 2 4 1 9 0
decad 4 3 4 1 4
evid 1 3 6 3 3
deduct 6 2 0 0 8
lear 1 0 0 14 1
search 11 1 1 2 1
sweden 4 0 0 10 2
often 3 3 7 3 0
non-opec 16 0 0 0 0
jim 2 3 1 5 5
meanwhil 2 4 6 1 3
lord 3 0 2 0 11
troop 15 1 0 0 0
presenc 6 1 2 6 1
cabinet 5 8 1 2 0
seller 2 7 4 3 0
owe 4 1 4 4 3
surround 1 1 4 8 2
ambassador 7 0 4 5 0
mr 1 0 1 10 4
monitor 4 2 3 7 0
histori 2 2 0 4 8
somewhat 2 1 6 2 5
harm 8 1 3 3 1
market' 1 0 15 0 0
undertak 1 2 8 5 0
heart 4 2 2 6 2
acknowledg 1 1 3 11 0
vulner 1 4 7 1 3
truste 2 0 0 9 5
compound 1 10 0 0 5
salari 1 1 2 6 6
mountain 1 0 0 13 2
triton 4 0 0 11 1
elsewher 8 5 1 2 0
injunct 1 0 0 15 0
hunt 2 0 1 11 2
midday 1 3 8 3 1
extra 1 3 3 3 6
idl 3 10 0 0 3
written 1 2 2 4 7
win 1 0 1 10 4
me 2 1 3 10 0
republican 1 13 0 2 0
sound 2 2 3 7 2
sweden' 2 0 0 14 0
agenda 1 10 3 2 0
procedur 1 3 3 4 5
china' 0 12 0 1 3
recogn 0 3 3 4 6
dole 0 16 0 0 0
veget 0 14 0 1 1
decoupl 0 16 0 0 0
sudan 0 6 10 0 0
els 0 3 3 8 2
mca 0 1 0 13 2
beef 0 9 1 6 0
pillsburi 0 3 0 1 12
winterkil 0 16 0 0 0
southwestern 0 2 0 2 12
forest 0 2 0 11 3
undermin 0 2 12 2 0
zambia 0 2 14 0 0
summit 0 0 8 6 2
resal 0 0 14 2 0
guaranti 0 0 6 7 3
seipp 0 0 8 0 8
enforc 0 0 1 13 2
capel 0 0 1 7 8
hungari 0 0 16 0 0
ward 0 0 1 14 1
narragansett 0 0 0 16 0
amo 0 0 0 12 4
nestl 0 0 0 8 8
tesco 0 0 0 12 4
conagra 0 0 0 12 4
renouf 0 0 0 16 0
wisconsin 0 0 0 14 2
poison 0 0 0 16 0
pill 0 0 0 16 0
gardner 0 0 0 16 0
tv 0 0 0 14 2
transamerica 0 0 0 5 11
crosbi 0 0 0 7 9
wallenberg 0 0 0 16 0
westinghous 0 0 0 9 7
zico 0 0 0 16 0
amc' 0 0 0 15 1
pc 0 0 0 16 0
olson 0 0 0 6 10
tvx 0 0 0 16 0
connecticut 0 0 0 11 5
autom 0 0 0 10 6
metex 0 0 0 15 1
per-shar 0 0 0 2 14
echlin 0 0 0 7 9
vine 0 0 0 15 1
bat 0 0 0 0 16
mellon 0 0 0 0 16
mass 9 1 0 3 2
shut 14 0 0 0 1
justifi 4 1 6 3 1
ftc 2 0 0 12 1
moor 5 0 0 9 1
quak 15 0 0 0 0
rout 1 4 1 6 3
articl 1 2 2 7 3
restraint 5 0 2 6 2
apart 2 0 3 4 6
arabia' 12 0 1 0 2
temporarili 5 1 5 2 2
steadili 5 4 4 0 2
pennzoil 11 0 0 0 4
pursuant 1 0 1 12 1
resid 1 3 8 3 0
hall 3 7 0 2 3
sunday 5 1 3 6 0
guard 5 0 2 8 0
francais 6 0 0 5 4
virtual 4 2 4 2 3
cutback 10 2 0 1 2
boycott 7 0 8 0 0
disrupt 2 3 2 3 5
davi 3 0 0 7 5
broke 2 2 2 6 3
conflict 4 2 7 1 1
underway 2 4 1 6 2
undersecretari 3 8 4 0 0
ecuadorean 15 0 0 0 0
simon 6 0 0 2 7
northeast 2 6 0 6 1
mississippi 1 7 0 1 6
firmer 4 1 4 4 2
han 1 0 2 9 3
norsk 14 0 0 0 1
thatcher 4 0 5 6 0
pont 1 0 0 8 6
arco 2 0 0 7 6
two-year 2 0 5 6 2
distanc 2 0 0 1 12
moratorium 1 0 2 0 12
bar 1 2 3 8 1
lifetim 3 0 0 12 0
banqu 1 0 2 11 1
liber 1 5 8 0 1
divid 7 1 5 2 0
bu 2 7 0 4 2
bridg 5 0 1 9 0
peke 9 6 0 0 0
evan 9 0 0 6 0
widen 2 3 7 1 2
weaker 2 1 8 1 3
prudenti 1 1 0 2 11
valid 2 3 2 7 1
dean 1 2 1 3 8
whom 1 2 2 10 0
pct-own 2 0 0 4 9
campaign 2 9 0 2 2
team 1 2 2 6 4
membership 2 5 8 0 0
guess 0 10 3 1 1
civil 0 5 2 3 5
h 0 1 1 6 7
iowa 0 11 1 0 3
seaway 0 13 0 1 1
lanka 0 15 0 0 0
paddi 0 15 0 0 0
semi-annu 0 2 1 0 12
retali 0 5 8 2 0
advisori 0 3 0 11 1
essenti 0 4 4 3 4
probe 0 3 1 11 0
mitsui 0 0 2 13 0
over-th 0 0 4 8 3
sloan 0 0 13 2 0
sumitomo 0 0 1 10 4
antitrust 0 0 0 13 2
greenmail 0 0 0 15 0
heyman 0 0 0 15 0
pepsico 0 0 0 11 4
lincoln 0 0 0 11 4
supercomput 0 0 0 15 0
maryland 0 0 0 15 0
jack 0 0 0 7 8
ucpb 0 0 0 15 0
dougla 0 0 0 7 8
sosnoff' 0 0 0 15 0
cyacq' 0 0 0 15 0
hiram 0 0 0 6 9
deak 0 0 0 15 0
quest 0 0 0 14 1
biotechnolog 0 0 0 10 5
pinola 0 0 0 12 3
ultramar 0 0 0 7 8
glass 0 0 0 7 8
cinema 0 0 0 2 13
variti 0 0 0 0 15
cra 0 0 0 0 15
kill 10 3 1 0 0
calm 4 1 9 0 0
advoc 5 2 2 5 0
indefinit 8 1 0 3 2
steep 4 0 8 0 2
chevron 14 0 0 0 0
curtail 5 0 6 1 2
outlay 2 9 0 2 1
phillip 6 0 5 1 2
deliber 8 2 1 3 0
code 6 1 2 2 3
injuri 4 8 0 1 1
preussag 1 0 0 3 10
jungl 14 0 0 0 0
bolster 3 2 5 1 3
accompani 2 1 2 3 6
wood 3 0 0 6 5
repeal 6 0 0 3 5
alaskan 12 0 0 2 0
reveal 2 0 4 7 1
murray 4 0 0 4 6
emphasi 3 1 2 4 4
tabl 1 2 1 9 1
mercantil 6 0 2 0 6
industry' 11 2 0 1 0
judgment 3 3 1 6 1
relationship 3 2 4 4 1
coke 1 0 0 13 0
unanim 2 1 1 9 1
draft 6 2 3 2 1
aris 2 0 1 3 8
freez 3 4 0 5 2
substitut 1 4 4 2 3
airport 1 0 1 11 1
conglomer 1 0 0 9 4
injur 2 11 0 0 1
rotterdam 2 12 0 0 0
proport 1 2 4 5 2
netback 14 0 0 0 0
waiver 1 0 1 11 1
heard 3 3 3 5 0
cftc 2 12 0 0 0
foundat 1 0 5 6 2
man 1 0 2 10 1
lie 6 1 5 1 1
rothschild 1 0 0 12 1
rumour 1 2 6 4 1
fort 1 0 0 11 2
upcom 1 5 3 2 3
withdrew 1 1 2 10 0
casualti 1 0 0 8 5
neither 2 4 0 6 2
didn't 0 5 0 7 2
bangladesh 0 14 0 0 0
orang 0 3 0 11 0
journalist 0 1 6 2 5
oregon 0 2 0 10 2
warm 0 14 0 0 0
barg 0 14 0 0 0
nino 0 14 0 0 0
household 0 1 3 4 6
loui 0 8 0 6 0
voic 0 6 0 7 1
equit 0 2 0 7 5
dlr-per 0 2 0 12 0
y 0 3 0 5 6
danforth 0 4 0 7 3
factori 0 7 1 5 1
pan 0 1 0 1 12
issuanc 0 2 2 5 5
peseta 0 2 10 0 2
caution 0 1 9 0 4
profession 0 1 0 7 6
orient 0 2 6 2 4
protection 0 1 12 1 0
consumm 0 1 0 13 0
gnp 0 0 12 0 2
guidelin 0 0 8 1 5
baker' 0 0 10 4 0
read 0 0 4 9 1
miti 0 0 12 2 0
brook 0 0 1 11 2
confidenti 0 0 2 12 0
alan 0 0 1 11 2
citizen 0 0 4 7 3
mueller 0 0 12 2 0
liff 0 0 14 0 0
chem 0 0 0 14 0
icn 0 0 0 11 3
cb 0 0 0 11 3
residenti 0 0 0 7 7
furnitur 0 0 0 7 7
spin 0 0 0 13 1
scan-graph 0 0 0 14 0
itel 0 0 0 12 2
counsel 0 0 0 11 3
jefferi 0 0 0 11 3
soro 0 0 0 14 0
vm 0 0 0 3 11
akzo 0 0 0 10 4
heck' 0 0 0 4 10
combust 0 0 0 7 7
bayou 0 0 0 14 0
anacomp 0 0 0 7 7
comalco 0 0 0 0 14
featur 1 7 2 2 1
safeti 1 3 0 7 2
accid 5 2 0 0 6
anchor 1 0 3 0 9
pose 4 3 4 0 2
reinforc 1 2 8 1 1
ocean 7 3 0 1 2
contractor 4 0 0 7 2
supertank 13 0 0 0 0
state' 6 1 2 2 2
swing 5 1 6 0 1
secondari 7 1 0 4 1
ali 13 0 0 0 0
kingdom' 9 0 0 0 4
worst 3 6 3 0 1
gone 3 2 5 3 0
wind 2 6 0 2 3
ina 13 0 0 0 0
comprehens 2 1 5 2 3
motion 1 0 0 12 0
experienc 3 4 2 1 3
choic 2 2 3 6 0
compagni 3 0 0 9 1
balao 13 0 0 0 0
upper 3 3 4 1 2
implic 4 1 5 2 1
analysi 3 5 2 2 1
correspond 1 4 3 0 5
unveil 1 0 7 5 0
reliev 5 3 4 0 1
athen 11 0 0 2 0
illeg 5 1 2 4 1
mideast 13 0 0 0 0
aspect 2 2 2 5 2
cook 1 0 0 7 5
content 3 2 8 0 0
forum 2 1 7 3 0
january' 2 1 10 0 0
immin 1 4 5 3 0
indonesia' 7 2 3 1 0
cool 3 4 4 2 0
upham 3 0 5 3 2
stori 4 2 3 1 3
quiet 1 0 11 0 1
true 1 1 1 7 3
wider 3 2 4 2 2
speed 1 1 5 4 2
pilot 1 7 0 5 0
defin 2 2 2 5 2
transmiss 1 0 0 7 5
breakdown 1 10 1 0 1
thailand 0 10 0 2 1
cordoba 0 13 0 0 0
bean 0 10 0 3 0
irrig 0 13 0 0 0
coverag 0 7 0 1 5
confus 0 2 5 1 5
english 0 9 3 0 1
wet 0 6 2 5 0
unc 0 13 0 0 0
lb 0 13 0 0 0
portugues 0 7 0 6 0
insect 0 13 0 0 0
tonnag 0 8 0 0 5
trim 0 3 2 4 4
patrick 0 4 1 3 5
conveni 0 1 0 6 6
translat 0 2 1 2 8
your 0 2 5 6 0
kay 0 7 0 0 6
breakwat 0 1 0 12 0
concept 0 2 5 3 3
amalgam 0 2 0 5 6
bonus 0 9 0 0 4
management' 0 1 0 12 0
pleas 0 3 2 6 2
first-quart 0 0 2 0 11
digit 0 0 1 8 4
non-bank 0 0 9 3 1
gilt 0 0 13 0 0
ibm 0 0 1 1 11
na 0 0 1 3 9
stone 0 0 2 8 3
ringgit 0 0 3 5 5
parallel 0 0 12 1 0
hanov 0 0 1 7 5
darman 0 0 13 0 0
system' 0 0 12 0 1
clearanc 0 0 1 12 0
tfb 0 0 0 13 0
wmx 0 0 0 12 1
brierley 0 0 0 13 0
interconnect 0 0 0 13 0
spinoff 0 0 0 13 0
del 0 0 0 8 5
siegler 0 0 0 13 0
sunter 0 0 0 13 0
adsteam 0 0 0 6 7
royex 0 0 0 13 0
waiv 0 0 0 13 0
cleveland 0 0 0 12 1
barwon 0 0 0 13 0
armtek 0 0 0 13 0
clark 0 0 0 11 2
rhode 0 0 0 10 3
bilzerian 0 0 0 13 0
revolv 0 0 0 8 5
dr 0 0 0 10 3
amr 0 0 0 4 9
pier 0 0 0 6 7
theodor 0 0 0 12 1
penn 0 0 0 12 1
linotyp 0 0 0 13 0
carson 0 0 0 8 5
wtc 0 0 0 12 1
kistler 0 0 0 13 0
datagraphix 0 0 0 6 7
avia 0 0 0 13 0
write-down 0 0 0 1 12
sprint 0 0 0 0 13
laidlaw 0 0 0 0 13
pemex 12 0 0 0 0
fernando 11 0 0 1 0
communiqu 9 0 2 0 1
richfield 5 0 0 5 2
grisanti 12 0 0 0 0
bolivar 3 0 0 0 9
collaps 3 1 4 2 2
workforc 2 0 0 3 7
climat 3 2 3 1 3
recognis 4 1 5 1 1
x 6 3 0 2 1
nearbi 7 4 1 0 0
mitchel 5 0 1 2 4
carter 1 0 1 3 7
gather 4 0 4 4 0
arthur 3 0 0 4 5
struck 6 0 3 3 0
christian 2 0 0 4 6
seamen 12 0 0 0 0
persuad 2 1 8 1 0
vital 3 3 0 5 1
interfer 4 1 1 6 0
coincid 1 2 2 2 5
sarney 4 0 8 0 0
concess 2 2 0 6 2
france' 1 1 2 7 1
autumn 2 4 5 0 1
territori 4 1 0 3 4
shutdown 9 0 0 0 3
bare 1 2 7 0 2
surviv 1 5 0 6 0
sovereign 1 0 0 8 3
oman 4 0 8 0 0
turbul 2 0 9 0 1
r 2 0 0 6 4
superior 1 0 0 10 1
none 3 2 2 2 3
coffe 4 4 1 2 1
testimoni 3 1 6 1 1
belt 1 11 0 0 0
tend 1 2 7 1 1
henri 1 0 2 6 3
kenneth 1 0 6 2 3
holm 2 0 0 7 3
bottl 1 0 0 11 0
policymak 1 0 10 1 0
game 2 0 3 4 3
palm 1 8 0 3 0
mix 1 2 3 1 5
abu 10 0 2 0 0
broader 1 4 3 4 0
beach 1 0 0 11 0
europe' 1 0 5 4 2
safeguard 1 0 1 8 2
summari 0 12 0 0 0
sluggish 0 2 8 0 2
collect 0 5 1 4 2
sign-up 0 12 0 0 0
reorganis 0 1 0 1 10
toledo 0 7 0 5 0
dn 0 12 0 0 0
amid 0 3 6 3 0
contest 0 1 0 8 3
onto 0 6 3 3 0
tobacco 0 3 0 4 5
refund 0 5 0 0 7
v 0 7 0 5 0
n.a 0 2 0 5 5
represent 0 1 0 10 1
obstacl 0 3 6 3 0
sens 0 3 4 5 0
grace 0 2 0 10 0
fiber 0 2 0 0 10
holland 0 1 0 4 7
egg 0 2 2 2 6
edg 0 1 5 3 3
cast 0 1 5 5 1
that' 0 1 2 8 1
credibl 0 0 8 3 1
roach 0 0 2 10 0
sterling' 0 0 11 1 0
eysken 0 0 12 0 0
realign 0 0 11 0 1
nichola 0 0 2 6 4
lay 0 0 5 4 3
forint 0 0 12 0 0
donaldson 0 0 1 10 1
preciou 0 0 2 10 0
malcolm 0 0 1 11 0
aloha 0 0 0 12 0
lilli 0 0 0 11 1
fcc 0 0 0 8 4
fiduciari 0 0 0 9 3
arsen 0 0 0 11 1
pincu 0 0 0 12 0
novamin 0 0 0 12 0
learjet 0 0 0 11 1
axp 0 0 0 12 0
brew 0 0 0 10 2
disc 0 0 0 10 2
caw 0 0 0 11 1
piedmont' 0 0 0 12 0
bours 0 0 0 3 9
clabir 0 0 0 9 3
wedg 0 0 0 12 0
coopervis 0 0 0 6 6
schwab 0 0 0 11 1
magnet 0 0 0 8 4
walker 0 0 0 7 5
transworld 0 0 0 4 8
kaiser 0 0 0 12 0
butler 0 0 0 10 2
fc 0 0 0 10 2
grenfel 0 0 0 3 9
shv 0 0 0 12 0
veba 0 0 0 11 1
tre 0 0 0 12 0
fichtel 0 0 0 11 1
vulcan 0 0 0 12 0
fdic 0 0 0 2 10
alcan 0 0 0 12 0
outboard 0 0 0 12 0
nurseri 0 0 0 5 7
cornelissen 0 0 0 0 12
equatori 0 0 0 0 12
porsch 0 0 0 0 12
bp.l 6 0 0 3 2
hydrocrack 11 0 0 0 0
check 2 0 6 2 1
ice 5 0 0 5 1
baltic 2 6 0 3 0
vice-presid 2 2 1 6 0
upgrad 6 0 2 0 3
margosh 11 0 0 0 0
lawmak 2 8 0 0 1
function 2 2 2 3 2
navi 10 0 0 1 0
discourag 1 4 3 3 0
refrain 2 0 9 0 0
kharg 11 0 0 0 0
dd 3 0 0 3 5
conoco 11 0 0 0 0
panic 1 0 4 6 0
costli 4 3 0 3 1
ashland 1 0 0 1 9
miss 2 0 3 4 2
quick 1 0 6 3 1
formula 3 0 3 1 4
norway' 11 0 0 0 0
shield 1 0 0 4 6
libya 8 1 1 0 1
endors 2 3 6 0 0
lewi 2 0 1 7 1
breach 2 0 2 5 2
caspar 4 0 0 7 0
seismic 7 0 0 1 3
nymex 11 0 0 0 0
assign 5 0 4 1 1
educ 1 1 2 3 4
blame 4 0 1 0 6
notabl 2 4 1 1 3
paint 1 0 1 5 4
absolut 1 1 3 2 4
specialis 1 1 0 8 1
learn 1 1 5 3 1
closer 1 1 6 3 0
uphold 2 5 0 4 0
gap 4 1 3 0 3
trust' 1 0 0 1 9
popular 1 0 9 1 0
abolish 1 3 5 0 2
transit 1 0 1 4 5
mayb 2 0 3 2 4
debtor 3 0 1 1 6
ht 2 0 0 9 0
sight 1 0 6 2 2
embassi 4 5 0 2 0
broaden 1 2 0 5 3
hire 1 0 0 7 3
ran 3 2 2 1 3
reschedul 1 1 3 1 5
disappear 1 3 4 1 2
metro 2 0 0 4 5
diversif 1 0 3 5 2
multipl 1 0 2 4 4
howard 2 0 0 5 4
yellow 2 6 0 0 3
yugoslav 2 9 0 0 0
raymond 4 1 1 3 2
enjoin 1 0 0 10 0
preced 1 4 0 3 3
sydney 1 1 3 1 5
testifi 1 4 3 3 0
physic 3 5 0 3 0
inevit 4 0 6 0 1
slower 2 1 4 0 4
al-wattari 11 0 0 0 0
